Country,Region(IFA),Region(OCP)
Algeria,Africa,Africa
Angola,Africa,Africa
Benin,Africa,Africa
Burkina Faso,Africa,Africa
Cameroon,Africa,Africa
Congo. Rep,Africa,Africa
Côte d'Ivoire,Africa,Africa
Djibouti,Africa,Africa
DRC,Africa,Africa
Egypt,Africa,Africa
Erithrea,Africa,Africa
Ethiopia,Africa,Africa
Gabon,Africa,Africa
Ghana,Africa,Africa
Kenya,Africa,Africa
Liberia,Africa,Africa
Libya,Africa,Africa
Madagascar,Africa,Africa
Malawi,Africa,Africa
Mali,Africa,Africa
Mauritania,Africa,Africa
Mauritius,Africa,Africa
Mozambique,Africa,Africa
Namibia,Africa,Africa
Nigeria,Africa,Africa
Senegal,Africa,Africa
Sierra Leone,Africa,Africa
South Africa,Africa,Africa
Sudan,Africa,Africa
Swaziland,Africa,Africa
Tanzania,Africa,Africa
Togo,Africa,Africa
Tunisia,Africa,Africa
Various Africa,Africa,Africa
Zambia,Africa,Africa
Zimbabwe,Africa,Africa
China,East Asia,East Asia
Hong-Kong,East Asia,East Asia
Indonesia,East Asia,East Asia
Japan,East Asia,East Asia
Korea DPR,East Asia,East Asia
Korea Rep.,East Asia,East Asia
Malaysia,East Asia,East Asia
Myanmar,East Asia,East Asia
Philippines,East Asia,East Asia
Singapore,East Asia,East Asia
"Taiwan, China",East Asia,East Asia
Thailand,East Asia,East Asia
Various East Asia,East Asia,East Asia
Vietnam,East Asia,East Asia
Argentina,Latin America,Latin America
Bahamas,Latin America,Latin America
Belize,Latin America,Latin America
Bolivia,Latin America,Latin America
Brazil,Latin America,Latin America
Chile,Latin America,Latin America
Colombia,Latin America,Latin America
Costa Rica,Latin America,Latin America
Cuba,Latin America,Latin America
Dominican Rep.,Latin America,Latin America
Ecuador,Latin America,Latin America
El Salvador,Latin America,Latin America
Guadeloupe,Latin America,Latin America
Guatemala,Latin America,Latin America
Guyana,Latin America,Latin America
Honduras,Latin America,Latin America
Jamaica,Latin America,Latin America
Martinique,Latin America,Latin America
Nicaragua,Latin America,Latin America
